Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Sales_Bin,Cluster,Cluster_Label
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2.0,0.0,6.8714,Low,1,Transaksi Rendah
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2.0,0.2,2.5164000000000004,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,6.999999999999999,0.0,14.169399999999998,High,0,Transaksi Menengah
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4.0,0.0,1.9656000000000002,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3.0,0.2,5.782500000000001,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.551999999999998,3.0,0.2,5.443200000000001,Low,0,Transaksi Menengah
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2.0,0.0,9.99,High,0,Transaksi Menengah
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2.0,0.0,2.4824,Low,0,Transaksi Menengah
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4.0,0.2,7.384000000000001,Medium,0,Transaksi Menengah
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,6.999999999999999,0.0,5.0596000000000005,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,6.999999999999999,0.0,15.6884,High,1,Transaksi Rendah
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648000000000001,2.0,0.2,4.2223999999999995,Low,0,Transaksi Menengah
